AMD,QQQ
0.488265937,0.104332077
-0.357688006,-0.23185779
3.765528858,0.370578482
2.222676595,0.64904081
0.579067888,-0.155239585
-0.048667564,-0.786624166
1.149104773,0.272043064
0.154366581,0.65422418
-0.827608196,-0.631465785
-1.926803418,-0.161545583
0.946250513,0.618142528
-1.741562496,-0.335091023
-1.758572758,-0.10963671
0.91888434,-0.519332969
-0.09329638,0.354853559
-2.1551647,0.108071738
-0.40645883,0.511901864
-0.254463051,0.205031272
0.235127774,0.049647567
-0.247282331,-0.15790063
-0.185169316,-0.1408397
0.417944539,0.147674447
0.217099449,-0.080131762
0.680408208,0.091845969
-1.113267451,-0.376430772
0.500180552,0.097361152
-3.746325729,-0.669194198
1.185746023,0.508776144
-0.13271821,0.012815845
0.224363035,0.16037081
-0.935661139,-0.380737551
0.86439855,0.688013432
-1.879139162,-0.697921593
-0.794528752,-0.720401922
0.84237904,0.004029827
-2.583437553,-0.533156969
0.297867328,-0.248534229
-2.430334038,-0.907944115
0.58832447,0.434574274
1.047865109,0.643304256
-0.151426801,0.146876312
0.57432906,-0.210268022
1.01613577,0.665073224
0.765778373,0.175980639
-0.496217312,-0.826731516
-4.052430684,-0.315157582
0.565250255,0.550796924
1.299643752,0.864205944
1.468672764,0.473115039
-0.378002806,0.006904758
-0.228391067,-0.02565178
-0.349129172,0.094639049
-0.134151733,0.102293443
-0.390534565,0.100092769
0.743575159,0.278454351
1.807796762,0.673563013
0.795063144,-0.088310287
0.491273569,-0.021144309
0.48838951,0.301770903
-0.438247644,0.084883709
0.226236658,-0.008576209
-1.356489416,-0.19580703
1.576332819,0.408757491
1.349367962,0.163754529
-1.669031105,-0.307191195
0.421356233,-0.467785008
0.039049409,-0.080865265
-0.880578822,0.232562214
-0.955771006,0.118683304
1.645978146,0.86681981
0.159134963,-0.014993444
0.282912093,-0.038444345
-1.993121117,0.175068018
-0.375402516,0.297026274
0.348308218,0.565134262
-0.092247254,0.234761752
-0.07339501,0.224437396
-0.335933639,0.528771605
-1.046142137,0.013428051
1.963107519,-0.336051117
-0.14789771,-0.116516449
-0.264781579,-0.566237647
0,0.493822026
-0.740719706,0.089596601
0.528815309,0.111961882
0.739863007,-0.226026034
-1.227347112,0.253971462
1.785984248,0.453617516
-0.108504208,0.360574574
2.069692312,0.450487781
1.682437215,0.103164113
-0.388168764,0.037532863
1.650483971,0.450472869
-0.479521053,-0.963013884
-0.078843195,0.254393644
-0.427761414,0.116575074
-0.554146764,0.016628067
-4.675063054,-1.293952354
-1.008622619,-0.206019865
-1.184191717,-0.386656697
1.212063268,0.642228365
-0.524181457,-0.153343175
-2.726233463,-1.586455388
-1.937340594,-0.481585752
0.521203327,0.443142238
-0.074519698,0.087152244
-0.409022594,-0.600479672
1.854614235,1.266587137
-3.746076671,-1.064873444
-0.013108798,-1.043225114
0.753844453,-1.314596174
-1.52100556,0.413002323
-0.506696625,-0.472895381
2.508227646,1.308629795
-0.658058851,0.226215694
0.8011858,0.093428805
1.362849461,1.064453958
-0.117093801,0.014080508
1.993120933,1.083533232
0.352227788,0.05580487
1.921363165,0.566775286
0.312122634,-0.091237421
0.389777111,0.202090115
-1.714893904,-0.694087534
0.929007577,0.468479504
-1.421335143,-0.423687554
0.14741948,0.129544926
-1.211409912,-0.495629969
-0.258925694,-0.063622094
0.906874685,0.514593592
-3.53715672,-1.338989353
1.228819107,-0.112997045
-0.44311405,0.040524416
-1.614970333,-1.17922161
1.211321848,0.554927366
1.449895227,0.399520257
2.083588674,0.932995298
0.262920657,0.424227151
0.441348329,0.194127063
-0.065631427,-0.192291615
-0.361316741,0.022936555
-0.734707127,-0.188438315
2.406797725,1.084427984
-0.219446334,-0.082739914
0.222217041,0.053978689
0.43282317,0.208983405
1.003284664,0.040245993
1.442025473,0.325068905
-0.821917415,-0.242011851
-0.071406106,0.117615368
-1.161478053,-0.609332313
0.008154999,0.061319386
0.826534608,-0.032452419
2.095429982,0.513677512
0.017784897,-0.467710405
0.462382645,0.643808428
-0.449683604,0.34038217
-1.772665077,-0.049344642
0.970457778,0.067834438
-0.683080202,0.362914966
-2.329135263,-0.584428975
-0.141631475,0.005308358
0.033366631,0.030068447
-0.077895386,0.283738426
0.534105786,0.083358734
-1.060767484,0.047311635
-0.333856686,-0.670656627
0.150270152,0.350739384
0.782584294,0.263838535
1.013834835,0.0070138
1.685887287,0.415295409
-4.874284455,-0.329468163
-1.344525325,-1.110352932
-0.671360066,0.320150994
-0.353499247,-0.126705005
0.292227442,0.550522754
1.042017498,1.163945275
1.39023803,0.67843912
-0.545482324,0.050711645
-0.176482931,-0.025348421
-1.110497971,-0.078674259
-1.329404405,-0.055919934
-0.143651142,-0.302876687
-1.250265533,-1.047272186
1.278408604,0.300689742
0.143558238,0.297759571
-0.561318419,-0.025023177
-0.034732194,0.155943829
0.270805151,0.069606064
0.864017806,0.068637401
-1.06223275,0.232559073
-0.469237908,-0.343290514
0.298616357,0.379941637
1.518101181,0.470299977
-0.02446385,0.132961133
0.610515987,0.533621115
-0.800579521,-0.120513918
-0.859464173,0.38694801
-2.489179235,-0.339533674
-1.051319059,-0.148237728
0.811726062,0.7706147
0.149900449,-0.281193525
-1.244733283,0.331157156
-0.075350797,0.620953751
-0.576284158,-0.191677532
-1.272503546,-1.595760939
-0.914566269,-0.193836639
0.120389156,0.377602221
1.920535435,0.351096891
0.585092093,0.58493668
-0.42505389,-0.029511499
0.045121509,-0.581181338
-0.964631851,-0.581483137
-0.589233966,-0.370500052
-0.057565344,-0.085034093
1.673829804,0.704977314
1.424379146,0.496284853
-0.750667824,-0.781961715
-1.914084875,0.007586298
-2.11821702,-0.686417554
0.476433418,-0.139797703
-0.457724311,-0.041253338
1.424164589,0.987828975
-0.553805837,-0.305337548
1.093487807,0.726904779
0.292215327,0.253969251
0.518977755,0.551761352
-0.249888515,0.092233792
-0.070651469,-0.24612008
-2.860420432,-1.283205876
-0.318360239,0.637187944
1.193109288,-0.081640589
0.555263199,0.184721463
-1.076497295,-0.063149571
-0.633852559,-0.348973607
1.94356779,0.529867668
-2.811110805,0.196633305
-0.723286998,0.226099204
-1.03731337,-0.551272392
1.163287202,0.522561418
0.243039337,-0.103516951
0.241686809,0.025491351
0.034972044,0.620314636
0.498195745,0.181958757
0.450762679,0.098344252
0.155532103,0.012076147
-0.197355168,-0.184729206
-1.285548394,-0.910846502
-1.083064976,-0.515703508
-1.699959652,-0.550657085
